[I][2022-02-10 +80 15:57:50.835][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.935][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.035][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.137][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.237][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.337][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.438][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.538][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.639][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.739][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.839][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:51.941][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.041][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.142][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.243][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.343][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.444][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.544][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.645][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.746][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.846][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:52.946][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.046][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.146][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.247][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.347][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.447][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.548][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.648][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.748][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.849][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:53.949][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.049][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.149][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.249][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.350][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.451][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.551][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.651][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.751][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.852][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:54.952][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.051][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.152][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.252][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.352][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.454][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.553][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.653][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.754][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.855][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:55.955][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.056][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.158][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.258][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.359][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.459][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.560][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.661][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.762][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.863][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:56.964][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.065][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.165][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.267][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.369][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.469][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.570][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.671][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.771][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.871][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:57.972][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:58.072][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
