~~~~~ begin of mmap ~~~~~
[I][2022-02-10 +80 21:26:09.894][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.897][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.899][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.902][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.905][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.908][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.910][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.912][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.914][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.916][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.918][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.921][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.922][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.927][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.931][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.932][8532, 22115][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
